Zip code, Price($)
19120.0,129.6153846153846
19121.0,150.0
19122.0,212.5
19124.0,123.33333333333333
19125.0,181.25
19126.0,121.42857142857143
19127.0,125.0
19128.0,125.0
19102.0,280.0
19103.0,286.6666666666667
19104.0,125.0
19106.0,195.0
19107.0,246.40625
19111.0,120.0
19118.0,150.0
19119.0,165.0
19149.0,100.0
19154.0,175.0
19130.0,225.0
19134.0,123.75
19135.0,130.0
19136.0,125.0
19137.0,200.0
19138.0,75.0
19139.0,250.0
19143.0,100.0
19144.0,135.0
19145.0,225.0
19146.0,295.0
19147.0,232.5
19148.0,100.0
