Zip code, Price($)
10001,150.0
10002,250.0
10011,300.0
10016,462.5
10018,150.0
10019,325.0
10022,400.0
10035,299.0
10301,237.5
10305,110.0
10309,450.0
10310,125.0
10314,347.5
10454,25.764705882352942
10459,90.0
10461,144.0
10462,350.0
10463,180.0
10465,131.66666666666666
10474,94.25
10573,300.0
10701,235.71428571428572
10705,147.5
10965,65.0
10977,175.0
11001,150.0
11101,306.25
11102,247.85714285714286
11103,303.125
11104,251.25
11105,267.5
11106,337.5
11201,370.0
11203,400.0
11204,175.0
11206,75.0
11207,300.0
11208,622.0
11209,275.0
11210,516.6666666666666
11211,310.0
11212,550.0
11213,299.0
11215,293.0
11217,400.0
11218,322.77777777777777
11220,275.0
11222,287.5
11223,325.0
11225,125.0
11228,250.0
11229,150.0
11230,300.0
11231,416.6666666666667
11232,79.0
11235,127.5
11236,150.0
11238,83.33333333333333
11355,216.66666666666666
11356,68.0
11357,70.75
11368,237.14285714285714
11369,160.0
11370,180.0
11372,331.25
11373,183.5
11374,131.0
11375,263.0769230769231
11377,182.22222222222223
11378,150.0
11379,285.0
11385,323.7037037037037
11414,80.0
11415,250.0
11416,600.0
11421,150.0
11422,87.5
11423,100.0
11428,19.0
11432,215.0
11471,206.98039215686273
11510,175.0
11566,500.0
11629,206.98039215686273
11692,230.2469135802469
11731,350.0
16091,206.98039215686273
20459,206.98039215686273
