Zip code, Price($)
60106,190.0
60131,105.0
60176,200.0
60601,162.77777777777777
60603,248.33333333333334
60605,197.5
60606,253.75
60607,211.94444444444446
60608,292.85714285714283
60609,90.0
60610,200.6875
60611,217.72413793103448
60612,100.0
60613,154.88888888888889
60614,208.1818181818182
60615,100.0
60616,186.5625
60618,139.11764705882354
60622,167.22222222222223
60624,400.0
60625,84.74418604651163
60626,143.47619047619048
60629,154.0
60630,143.1818181818182
60634,205.19230769230768
60636,100.0
60639,394.0
60640,128.75
60641,217.77777777777777
60642,191.0
60644,125.0
60645,100.0
60647,129.27586206896552
60649,35.0
60654,226.15384615384616
60656,50.0
60657,148.49019607843138
60659,324.0
60660,137.5
60661,250.0
60707,85.0
