Zip code, Price($)
2118.0,242.57575757575756
2119.0,190.0
2120.0,166.17283950617283
2130.0,135.5
2134.0,153.85849056603774
2135.0,150.64285714285714
2445.0,182.6060606060606
2446.0,193.4607843137255
2467.0,173.0
2108.0,400.0
2114.0,341.0
2115.0,229.42372881355934
2116.0,338.3333333333333
2215.0,235.70238095238096
2128.0,150.0
2129.0,500.0
2150.0,200.0
2124.0,150.0
2131.0,300.0
2136.0,75.0
2109.0,350.0
2111.0,366.35714285714283
2113.0,450.0
2125.0,137.5
2127.0,276.275
2210.0,120.0
2458.0,150.0
2472.0,199.22222222222223
2155.0,115.0
2149.0,125.0
2145.0,108.88888888888889
2144.0,155.65217391304347
2143.0,171.58823529411765
2138.0,161.15555555555557
2139.0,192.14705882352942
2141.0,191.5
