Zip code, Price($), stdev($)
02118,259.21875,63.526846940943514
02119,190.0,0
02120,165.88235294117646,29.227926862565422
02130,135.5,17.05872210923198
02134,153.94285714285715,35.15127434264779
02135,156.43859649122808,50.60256999449857
02445,172.68571428571428,27.329978614928272
02446,192.62244897959184,48.08765949807214
02447,100.0,0
02467,149.0,79.01898506055365
02108,425.0,28.867513459481287
02114,339.5,11.73314393786536
02115,228.67857142857142,76.97629083457677
02116,354.09090909090907,61.10720832349412
02215,245.31666666666666,62.100927056227896
02129,342.5,222.73863607376248
02124,125.0,0
02131,300.0,0
02136,75.0,0
02109,346.6666666666667,5.773502691896258
02111,359.3,63.243884201469534
02127,279.0487804878049,98.23720049439324
02210,120.0,0
02458,150.0,0
02472,184.8181818181818,139.89197130773314
02155,112.0,21.6794833886788
02149,125.0,0.0
02145,118.0,35.68379650952703
02144,156.08695652173913,43.66599784258838
02143,169.88235294117646,38.14943877889144
02138,162.95833333333334,62.580657175218846
02139,208.5185185185185,68.31114920284321
02141,173.57142857142858,29.820893921640145
